spot_name,hand,fold_freq,call_freq,raise_freq,best_action,ev
btn-open-vs-bb-defend-srp-01-hero_betting,5s5d,0,0.6666921,0.3333079,call,0.6851773
btn-open-vs-bb-defend-srp-01-hero_betting,6d5d,0,0.9204712,0.07952881,call,0.2865253
btn-open-vs-bb-defend-srp-01-hero_betting,7d5d,0,0.7679901,0.23200989,call,0.2629197
btn-open-vs-bb-defend-srp-01-hero_betting,8d5d,0,0.84555054,0.15444946,call,0.22610375
btn-open-vs-bb-defend-srp-01-hero_betting,9d5d,0,0.84729004,0.15270996,call,0.22345263
btn-open-vs-bb-defend-srp-01-hero_betting,Td5d,0,0.76955825,0.23044175,call,0.30805856
btn-open-vs-bb-defend-srp-01-hero_betting,Jd5d,0,0.7709468,0.22905317,call,0.33212596
btn-open-vs-bb-defend-srp-01-hero_betting,Qd5d,0,0.7129473,0.28705272,call,0.41961113
btn-open-vs-bb-defend-srp-01-hero_betting,Kc5d,0,0.81379414,0.18620585,call,2.0480611
btn-open-vs-bb-defend-srp-01-hero_betting,Kh5d,0,0.8306859,0.1693141,call,2.035923
btn-open-vs-bb-defend-srp-01-hero_betting,Ks5d,0,0.8198978,0.18010223,call,2.0553365
btn-open-vs-bb-defend-srp-01-hero_betting,Ac5d,0,0.98603797,0.013962005,call,4.4758267
btn-open-vs-bb-defend-srp-01-hero_betting,Ad5d,0,0.8156405,0.18435949,call,5.290555
btn-open-vs-bb-defend-srp-01-hero_betting,Ah5d,0,0.9857021,0.014297921,call,4.4253497
btn-open-vs-bb-defend-srp-01-hero_betting,5s5h,0,0.6773224,0.3226776,call,0.670048
btn-open-vs-bb-defend-srp-01-hero_betting,6h5h,0,0.9999542,4.57764E-05,call,0.15198922
btn-open-vs-bb-defend-srp-01-hero_betting,7h5h,0,0.99993896,6.10342E-05,call,0.13326034
btn-open-vs-bb-defend-srp-01-hero_betting,8h5h,0,0.9999542,4.57764E-05,call,0.1114404
btn-open-vs-bb-defend-srp-01-hero_betting,9h5h,0,0.99993896,6.10342E-05,call,0.113241374
btn-open-vs-bb-defend-srp-01-hero_betting,Th5h,0,0.96411026,0.035889767,call,0.16288121
btn-open-vs-bb-defend-srp-01-hero_betting,Jh5h,0,0.97289956,0.027100436,call,0.16596472
btn-open-vs-bb-defend-srp-01-hero_betting,Qh5h,0,0.8621326,0.13786736,call,0.17072092
btn-open-vs-bb-defend-srp-01-hero_betting,Kc5h,0,0.80096436,0.19903564,call,2.0172198
btn-open-vs-bb-defend-srp-01-hero_betting,Kh5h,0,0.82052064,0.17947936,call,2.0064876
btn-open-vs-bb-defend-srp-01-hero_betting,Ks5h,0,0.8069458,0.1930542,call,2.0244277
btn-open-vs-bb-defend-srp-01-hero_betting,Ac5h,0,0.98545814,0.014541848,call,4.4170394
btn-open-vs-bb-defend-srp-01-hero_betting,Ad5h,0,0.98280334,0.017196655,call,4.407279
btn-open-vs-bb-defend-srp-01-hero_betting,Ah5h,0,0.9851835,0.014816511,call,4.3670316
btn-open-vs-bb-defend-srp-01-hero_betting,6s5s,0,0.77001953,0.22998047,call,0.28563362
btn-open-vs-bb-defend-srp-01-hero_betting,7s5s,0,0.7654536,0.23454642,call,0.263221
btn-open-vs-bb-defend-srp-01-hero_betting,8s5s,0,0.8513206,0.14867938,call,0.2250503
